code	producer_product_id	producer_version_id	lc	product_name_ab	product_name_de	product_name_en	product_name_es	product_name_fr	product_name_id	product_name_it	product_name_nl	product_name_pt	product_name_ro	generic_name_en	generic_name_es	generic_name_fr	generic_name_it	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_en	origin_es	origin_fr	origin_it	origin_nl	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	ingredients_text_ab	ingredients_text_de	ingredients_text_en	ingredients_text_es	ingredients_text_fr	ingredients_text_id	ingredients_text_it	ingredients_text_nl	ingredients_text_pt	ingredients_text_uz	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	lignoceric-acid_value	lignoceric-acid_unit	trans-fat_value	trans-fat_unit	cholesterol_value	cholesterol_unit	added-sugars_value	added-sugars_unit	polyols_value	polyols_unit	vitamin-pp_value	vitamin-pp_unit	vitamin-b6_value	vitamin-b6_unit	folates_value	folates_unit	potassium_value	potassium_unit	chloride_value	chloride_unit	calcium_value	calcium_unit	phosphorus_value	phosphorus_unit	iron_value	iron_unit	magnesium_value	magnesium_unit	fruits-vegetables-nuts_value	fruits-vegetables-nuts_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_1_quantity_per_unit	packaging_1_weight_measured	packaging_2_number_of_units	packaging_2_shape	packaging_2_material	packaging_2_recycling	packaging_2_quantity_per_unit	packaging_2_weight_measured	packaging_3_number_of_units	packaging_3_shape	packaging_3_material	packaging_3_recycling	packaging_3_quantity_per_unit	packaging_3_weight_measured	packaging_4_number_of_units	packaging_4_shape	packaging_4_material	packaging_4_recycling	packaging_4_quantity_per_unit	packaging_4_weight_measured	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:environmental_score_grade	off:environmental_score_score	off:environmental_score_data.missing_key_data	off:environmental_score_data.agribalyse.code	off:environmental_score_data.adjustments.origins_of_ingredients.value	off:environmental_score_data.adjustments.packaging.value	off:environmental_score_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:environmental_score_data.adjustments.production_system.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	data_sources
8057714190871			it							Miele di cardo, da agricoltura biologica								250 g				Cuore dell'Isola	xx:cuore-dell-isola		Colazioni, Spalmabili, Spalmabili dolci, Prodotti delle api, Prodotti agricoli, Edulcoranti, Miele	en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys	Biologico, Biologico UE, IT-BIO-007	en:organic,en:eu-organic,en:it-bio-007	Italia	en:italy			0		Italia	en:italy																Miele non termizzato									100g	100g	1282	kJ	304	kcal	0	g	0	g	75	g	75	g			4	g	0.004	g	0.0016	g	0	% vol	1282	kJ																															1	en:lid	en:plastic-tinplate	en:recycle-with-metals			1	en:jar	en:clear-glass	en:recycle-in-glass-bin															https://cuoredellisola.it/cardo-art-37	en:sweets	en:sugary-snacks,en:sweets		unknown	d	18	a-plus	103		31008	0	-4	0	15							App - yuka, Apps, App - smoothie-openfoodfacts
8019514065926			it							Miele di acacia del Piemonte												Bennet	xx:bennet		Colazioni, Spalmabili, Spalmabili dolci, Prodotti delle api, Prodotti agricoli, Edulcoranti, Miele, Miele di acacia	en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys,en:acacia-honeys			Italia	en:italy	Bennet	bennet	0		Italia	en:italy																Miele di acacia									100g	100g	1408	kJ	331	kcal	0	g	0	g	83	g	83	g	0	g	0	g	0.03	g	0.012	g	0	% vol	1408	kJ																																																								en:sweets	en:sugary-snacks,en:sweets		unknown	e	19	a	79	1	31008	2	-15		0							App - yuka, Apps, App - smoothie-openfoodfacts
9421905934060			it			Manuka Honey				Miele di Manuka												Steens	xx:steens		Colazioni, Spalmabili, Spalmabili dolci, Prodotti delle api, Prodotti agricoli, Edulcoranti, Miele, Miele di manuka	en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys,en:manuka-honeys			Italia	en:italy			0																												100g	100g			327	kcal	0.5	g			80	g					0.4	g							327	kcal																																																								en:sweets	en:sugary-snacks,en:sweets	2	en:2-processed-culinary-ingredients	unknown		b	72	1	31008	-5	-15		0							App - yuka, Apps, App - InFood, App - macrofactor
8885009172789			en			Organic black Chia Seeds													15 g			API Pure	xx:api-pure				Vegetarian, Vegan	en:vegetarian,en:vegan	Singapore	en:singapore			0																												serving	100g			54	kcal	4.5	g	0.5	g	0	g	0	g	6	g	3.3	g	0	g	0	g			54	kcal			0	g	0	g	0	g																																																			unknown	unknown		unknown		1		-5	-15		0							App - macrofactor, Apps
8906021921497			en			Mixed Fruit Jam																Apis	xx:apis		Plant-based foods and beverages, Plant-based foods, Breakfasts, Spreads, Plant-based spreads, Sweet spreads, Fruit and vegetable preserves, Jams	en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:spreads,en:plant-based-spreads,en:sweet-spreads,en:fruit-and-vegetable-preserves,en:jams			United States	en:united-states			0															Sugar, [(Apple, Pear Prapay,, Pineapple, Grapes(, (INS 440), Acity Repu, Preservatives (NS 224,, Colours (INS 122, INS, [Artificial flavouring, (Raspberry, Banara								Apple, None	en:apple,en:none				100g	100g																																																																																en:sweets	en:sugary-snacks,en:sweets	4	en:4-ultra-processed-food-and-drink-products	unknown		b	60	1	31024	-5	-15		0							App - olive, Apps
8991002105447			en			kapal api																							Indonesia	en:indonesia			0																												100g	100g																																																																																			unknown	unknown		unknown		1		-5	-15		0							
8001300804796			it							Miele di Eucalipto												Despar, Spar	xx:despar,xx:spar		Colazioni, Spalmabili, Spalmabili dolci, Prodotti delle api, Prodotti agricoli, Edulcoranti, Miele, Miele di eucalipto	en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys,en:eucalyptus-honeys			Italia	en:italy			0																												100g	100g			331	kcal	0	g	0	g	83	g	83	g	0	g	0.3	g							331	kcal																																																								en:sweets	en:sugary-snacks,en:sweets	2	en:2-processed-culinary-ingredients	unknown		b	72	1	31008	-5	-15		0							App - Yuka, Apps
8012236002910			it							Miele fiori alpini															Colazioni, Spalmabili, Spalmabili dolci, Prodotti delle api, Prodotti agricoli, Edulcoranti, Miele	en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys			Italia	en:italy			0																												100g	100g			322	kcal	0	g	0	g	80	g	80	g			0.5	g							322	kcal																																																								en:sweets	en:sugary-snacks,en:sweets	2	en:2-processed-culinary-ingredients	unknown		b	72	1	31008	-5	-15		0							App - Yuka, Apps
0793597760203			it							Miele di Acacia															Colazioni, Spalmabili, Spalmabili dolci, Prodotti delle api, Prodotti agricoli, Edulcoranti, Miele, Miele di acacia	en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys,en:acacia-honeys			Italia	en:italy			0																												100g	100g			304	kcal	0	g	0	g	80.3	g	80.3	g			0.6	g	0	g	0	g			304	kcal																																																								en:sweets	en:sugary-snacks,en:sweets	2	en:2-processed-culinary-ingredients	d	18	b	72	1	31008	-5	-15		0							App - Yuka, Apps
8008571000896			it							miele di castagno															Colazioni, Spalmabili, Spalmabili dolci, Prodotti delle api, Prodotti agricoli, Edulcoranti, Miele, Miele di castagno	en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys,en:chestnut-honey			Italia	en:italy			0																												100g	100g							0	g			0	g																																																																				en:sweets	en:sugary-snacks,en:sweets	2	en:2-processed-culinary-ingredients	unknown		b	72	1	31008	-5	-15		0							App - Yuka, Apps
